date/time,type,order id,sku,description,quantity,order city,order state,order postal,total
"Nov 1, 2020 12:01:23 AM PDT",Order,113-9202030-9933827,N1N-ELDERBERRY-GUMMIES-FBA,N1N Premium Elderberry Gummies for Kids & Adults [Max Strength with Vitamin C & Zinc] All Natural Antioxidant Supplement to Support Immune Health and,1,MONROE,LA,71203-9757,11.09
"Nov 1, 2020 12:23:30 AM PDT",Order,114-7814083-6448236,N1N-WOMENS-FAT-BURNER-FBA,"N1N Premium Fat Burner for Women [7 Potent Ingredients] All Natural Thermogenic Weight Loss Pills, Suppresses Appetite, Boosts Metabolism and Energy,",1,New York,NY,10033-3736,12.87
"Nov 1, 2020 12:25:25 AM PDT",Order,112-9558636-5486606,N1N-TART-CHERRY-FBA,"N1N Premium Tart Cherry Extract Capsules, 200 Veg Caps, 3000 mg [10X Concentrated Extract] Powerful Antioxidant, Joint Health and Mobility, Uric Acid",3,SAN DIEGO,CA,92126-4800,38.61
"Nov 1, 2020 12:27:30 AM PDT",Order,112-4677698-5943468,N1N-BERBERINE-FBA,"N1N Premium Berberine Plus 120 Caps, 1200mg [Non-GMO, US Made] Natural Supplement Supports Anti-Aging, Cellular Health, Energy, Blood Sugar, Digestion",1,NEW BRAUNFELS,TX,78130-8371,16.09
"Nov 1, 2020 12:39:25 AM PDT",Order,112-3819042-3503426,AZM-MAT-BELT-FBA,"AZMED Maternity Belt, Breathable Pregnancy Back Support, Premium Belly Band, More Than 1.3M Happy Mothers, Lightweight Abdominal Binder, One-Size, Bei",1,MARINA DEL REY,CA,90292-4805,12.05
"Nov 1, 2020 12:41:22 AM PDT",Order,113-5319639-7833865,N1N-ELDRBERRY-FBA,"Premium Immune Support Booster, Powerful [10-in-1] Elderberry, Zinc, Vitamin C, E, B6, Echinacea, Garlic, Probiotic & Turmeric Blend. High Potency, 60",1,FENTON,MO,63026-1912,8.84
"Nov 1, 2020 12:48:39 AM PDT",Order,114-8548004-9201002,N1N-LIVER-FBA,"N1N Premium Liver Cleanse, Detox & Repair Supplement [22 Natural Herbs] All Natural Supplement with Milk Thistle, Beet Root, Artichoke. Max Strength t",1,PALM HARBOR,FL,34683-3426,7.22
"Nov 1, 2020 12:52:24 AM PDT",Order,112-4808688-8812221,N1N-MAGNESIUM-FBA,"N1N Premium [3X Absorption, Vegan] Magnesium Complex, Powerful Supplement for Sleep, Leg Cramps, Muscle Recovery & Relaxation, Formulated for Women &",1,DAVENPORT,FL,33897-1614,12.7
"Nov 1, 2020 12:59:15 AM PDT",Order,114-3064540-7317858,N1N-KIDNEY-SUPPORT-FBA,"N1N Premium Kidney Cleanse [21 Potent Herbs] for Urinary Tract & Bladder Control, Natural Kidney Support with Cranberry Extract, Astragalus and Uva Ur",1,MIDDLE VILLAGE,NY,11379-1839,12.87
"Nov 1, 2020 1:01:23 AM PDT",Order,111-8821157-3649061,N1N-COLON-CLEANSE-FBA,"N1N Premium Colon Cleanse & Detox for Weight Loss [15-Day Quick Cleanse] All Natural Colon Detox with Probiotic for Constipation Relief, Gut Health an",1,ELKINS PARK,PA,19027-2101,6.92
"Nov 1, 2020 1:13:44 AM PDT",Order,111-9744327-4960215,N1N-URIC-ACID-FBA,"N1N Premium Uric Acid Support for Men and Women [14 Potent Herbs] All Natural Kidney Support with Tart Cherry, Milk Thistle, Celery, Chanca Piedra, 60",1,CAMBRIDGE,MA,02139-1216,13.72
"Nov 1, 2020 1:14:23 AM PDT",Order,113-5733352-9413842,N1N-BERBERINE-FBA,"N1N Premium Berberine Plus 120 Caps, 1200mg [Non-GMO, US Made] Natural Supplement Supports Anti-Aging, Cellular Health, Energy, Blood Sugar, Digestion",5,MOONACHIE,NJ,07074-1701,81.96
"Nov 1, 2020 1:14:23 AM PDT",Order,113-5733352-9413842,N1N-BERBERINE-FBA,"N1N Premium Berberine Plus 120 Caps, 1200mg [Non-GMO, US Made] Natural Supplement Supports Anti-Aging, Cellular Health, Energy, Blood Sugar, Digestion",1,MOONACHIE,NJ,07074-1701,20.7
"Nov 1, 2020 1:15:51 AM PDT",Order,111-4843548-8652221,N1N-ELDRBERRY-FBA,"Premium Immune Support Booster, Powerful [10-in-1] Elderberry, Zinc, Vitamin C, E, B6, Echinacea, Garlic, Probiotic & Turmeric Blend. High Potency, 60",1,EDINBURG,TX,78542-8696,8.84
"Nov 1, 2020 1:18:21 AM PDT",Order,113-2355304-6018645,N1N-BERBERINE-FBA,"N1N Premium Berberine Plus 120 Caps, 1200mg [Non-GMO, US Made] Natural Supplement Supports Anti-Aging, Cellular Health, Energy, Blood Sugar, Digestion",1,RIVERTON,UT,84065-6185,16.09
"Nov 1, 2020 1:24:17 AM PDT",Order,114-8875995-4329023,N1N-PROSTATE-SUPPORT-FBA,"N1N Premium Prostate Supplement for Men [33 Potent Herbs + Saw Palmetto] Naturally Reduces Frequent Urination, Improves Prostate Health, Promotes Slee",1,GROTON,CT,06340-5107,9.47
"Nov 1, 2020 1:28:21 AM PDT",Order,114-4887627-2536206,N1N-MEN-MULTIVITS-FBA,"N1N Daily Multivitamin for Men, Premium Multimineral Supplement - Vitamins A C E D B1 B2 B3 B5 B6 B12. Magnesium, Zinc, Biotin, Spirulina, Antioxidant",2,CHICAGO HEIGHTS,IL,60411-4270,17.68
"Nov 1, 2020 1:28:21 AM PDT",Order,112-8567504-1943439,AZS-MALE-ENHNCEMENT-FBA,"AZS Premium Male Enhancing Pills [10X Strength] - Increase Drive, Stamina & Endurance - Fast Acting & Natural Horny Goat Weed Supplement with 100mg Ic",2,BUCHANAN,MI,49107-9460,25.74
"Nov 1, 2020 1:35:31 AM PDT",Order,111-5167928-1677812,N1N-ELDRBERRY-FBA,"Premium Immune Support Booster, Powerful [10-in-1] Elderberry, Zinc, Vitamin C, E, B6, Echinacea, Garlic, Probiotic & Turmeric Blend. High Potency, 60",1,PIQUA,OH,45356-1408,9.47
